bend_hex	bend_int	lend_hex	lend_int	type	property
5EA9BC5E	1589422430	5EA9BC5E	1589422430	UAV  	TraceDispatchBufferUAV
8F5133FB	4214444431	8F5133FB	4214444431	bool 	fVertexAlpha
8E8B46CC	3427175310	8E8B46CC	3427175310	float	fCameraFarClip
FEC45F5C	1549780222	FEC45F5C	1549780222	sampler	SSFaceMap__disclosure
C29AA9E5	3853097666	C29AA9E5	3853097666	float4	fMarkerPosition
016A839B	2609080833	016A839B	2609080833	float	fUserNormal2MoveSpeed
FC8309F9	4178150396	FC8309F9	4178150396	float	fFinWave
C00C7E57	1467878592	C00C7E57	1467878592	texture	tDetailNormalMap__disclosure
BAAE45E6	3863326394	BAAE45E6	3863326394	uint 	iNumVolumes
F36F1FAD	2904518643	F36F1FAD	2904518643	=    	0x3e2e147b
D7859DCA	3399321047	D7859DCA	3399321047	UAV  	rwTileP_Single_nc__uavcounter
10C4AF48	1219478544	10C4AF48	1219478544	float	fUVOffsetSpeed
663D35C3	3275046246	663D35C3	3275046246	sampler	SSWaterWrap
92DC7BAC	2893798546	92DC7BAC	2893798546	cbuffer	CBMhMaterialEM057Local__disclosure
8981ECB8	3102507401	8981ECB8	3102507401	float4x4	prevViewProjMatrix
FB6EB39B	2612227835	FB6EB39B	2612227835	float4	fGUISaturationParam
DD25AEE8	3903727069	DD25AEE8	3903727069	float3	fCoating_C__uiColor
C006CA05	  97126080	C006CA05	  97126080	texture	tArrayMap__disclosure
76194CC5	3310098806	76194CC5	3310098806	texture	tSkyCloudRegionMap
32C11514	 336970034	32C11514	 336970034	float	fInnerOffsetScale
D7F5CFAD	2916087255	D7F5CFAD	2916087255	UAV  	clearT1
5BF5DA32	 853210459	5BF5DA32	 853210459	float4	fGUIColorScale
3965FEC7	3355338041	3965FEC7	3355338041	uint 	iToneMapType
131CEE38	 955128851	131CEE38	 955128851	float	fBlendSpecular__uiUNorm
ACDA02EA	3926055596	ACDA02EA	3926055596	float3	fWaterColor
880E1788	2283212424	880E1788	2283212424	bool 	bSkyDeGamma
5A08F4A3	2750679130	5A08F4A3	2750679130	int  	iSSLRReductionLevel
C8761DEA	3927799496	C8761DEA	3927799496	float	fSSLRDepthEliminateRate
2C859B79	2040235308	2C859B79	2040235308	float4	fPrimaryColor__uiColor
A4D403FB	4211332260	A4D403FB	4211332260	texture	Image
743575B6	3061134708	743575B6	3061134708	float3	fGodRaysWorldOrigin
32E851F0	4031899698	32E851F0	4031899698	float4	fHaltonSequence
0AF8387F	2134439946	0AF8387F	2134439946	=    	0x41a00000
CC2A8068	1753230028	CC2A8068	1753230028	texture	tAtmosphereOpticalDepthMap
3D5E1434	 873750077	3D5E1434	 873750077	texture	srcVelocityBuffer
73A8CC7C	2093787251	73A8CC7C	2093787251	UAV  	gEmitterDataUAV
4E12825E	1585582670	4E12825E	1585582670	bool 	bDepthTest
90DC327D	2100485264	90DC327D	2100485264	float4	fBlendUVTransformA
68CEA515	 363187816	68CEA515	 363187816	float	fS2
79E7CF6D	1842341753	79E7CF6D	1842341753	UAV  	outputCubeMip5
4A294BA8	2823498058	4A294BA8	2823498058	float	fMipFogBlend
A2B99D33	 865974690	A2B99D33	 865974690	UAV  	collisionUsage
F5835DB3	3009250293	F5835DB3	3009250293	float	BokehNearBleedSmooth
35A1B954	1421451573	35A1B954	1421451573	=    	0x41800000
6A90BCBE	3200028778	6A90BCBE	3200028778	float	fMaterialHiddenSurfaceDrawIntensity//
7DD5A46B	1805964669	7DD5A46B	1805964669	cbuffer	CBLGTPRBDebug
94AD1FA2	2719985044	94AD1FA2	2719985044	float3	fFakeFaceLight__uiDirection//
4421B279	2041717060	4421B279	2041717060	float	fSSLRScale
9E3648DA	3662165662	9E3648DA	3662165662	float3	fWaterCustomBlendRefractionFactor//
28C466AF	2942747688	28C466AF	2942747688	uint 	iVertexStride
BC2C88EF	4018678972	BC2C88EF	4018678972	float	fVPushBlend__uiUNorm
